2016-09-28 15:53:01,843 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:03,612 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:03,823 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:53:07,370 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:09,261 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:09,395 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:53:12,897 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:14,799 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:14,953 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:53:18,424 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:20,460 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:20,518 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:53:23,948 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:25,978 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:26,085 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:53:29,477 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:31,646 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:53:31,752 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:35,007 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:37,281 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:37,343 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:53:40,537 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:42,903 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:43,066 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:53:46,066 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:53:48,632 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:53:48,680 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:05,436 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:05,514 - dataflume-monitor-logger - ERROR - extractor tungsten.jar on 10.166.224.81 new error log found since 2016-09-18 15:54:04
2016-09-28 15:54:05,525 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:11,089 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:11,122 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:54:11,215 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:16,641 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:16,724 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:54:16,905 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:22,320 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:22,328 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:54:22,586 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:27,912 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:28,025 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:54:28,133 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:33,463 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:33,704 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:33,709 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:54:39,140 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:39,252 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:39,429 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:54:44,813 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:44,924 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:45,125 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:54:50,478 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:50,700 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:54:50,711 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:56,165 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:54:56,307 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:54:56,363 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:01,735 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:01,886 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:55:02,036 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:07,270 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:07,475 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:55:07,596 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:12,946 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:13,125 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:13,173 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:55:18,618 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:18,803 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:18,860 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:55:24,199 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:24,352 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:24,439 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:55:29,779 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:29,902 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:30,004 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:55:35,433 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:55:35,700 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:55:35,701 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
