2016-09-28 18:57:19,094 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:58:19,876 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:58:19,951 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:58:20,605 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:59:21,404 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:59:21,447 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:59:22,121 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:00:22,913 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:00:22,966 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:00:23,691 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:01:24,424 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:01:24,519 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:01:25,173 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:02:25,942 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:02:25,959 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:02:26,715 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:03:27,470 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:03:27,478 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:03:28,273 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:04:22,499 - dataflume-monitor-logger - ERROR - applier tungsten.jar on 10.249.7.36 new error log found since 2016-09-18 19:04:21
2016-09-28 19:04:22,528 - dataflume-monitor-logger - ERROR - applier tungsten.jar on 10.249.7.35 new error log found since 2016-09-18 19:04:21
2016-09-28 19:04:22,540 - dataflume-monitor-logger - ERROR - applier tungsten.jar on 10.249.7.34 new error log found since 2016-09-18 19:04:21
2016-09-28 19:05:23,978 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:05:23,992 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:05:24,020 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:06:25,501 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:06:25,512 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:06:25,562 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:07:27,027 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:07:27,051 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:07:27,094 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:08:28,534 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:08:28,547 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:08:28,637 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:09:30,055 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:09:30,068 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:09:30,161 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:10:31,588 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:10:31,608 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:10:31,705 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:11:33,092 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:11:33,150 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:11:33,261 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:12:34,624 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:12:34,628 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:12:34,803 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:13:36,145 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:13:36,168 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:13:36,486 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:14:37,282 - dataflume-monitor-logger - CRITICAL - applier tungsten.jar on 10.249.7.34 is NOT running!!!

2016-09-28 19:14:37,687 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:14:37,688 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:15:38,089 - dataflume-monitor-logger - CRITICAL - applier tungsten.jar on 10.249.7.34 is NOT running!!!

2016-09-28 19:15:39,193 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:15:39,203 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:16:38,897 - dataflume-monitor-logger - CRITICAL - applier tungsten.jar on 10.249.7.34 is NOT running!!!

2016-09-28 19:16:40,731 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:16:40,749 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:17:39,739 - dataflume-monitor-logger - CRITICAL - applier tungsten.jar on 10.249.7.34 is NOT running!!!

2016-09-28 19:17:42,256 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:17:42,288 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:18:40,569 - dataflume-monitor-logger - CRITICAL - applier tungsten.jar on 10.249.7.34 is NOT running!!!

2016-09-28 19:18:43,792 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:18:43,817 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:19:41,390 - dataflume-monitor-logger - CRITICAL - applier tungsten.jar on 10.249.7.34 is NOT running!!!

2016-09-28 19:19:45,329 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:19:45,338 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:20:42,211 - dataflume-monitor-logger - CRITICAL - applier tungsten.jar on 10.249.7.34 is NOT running!!!

2016-09-28 19:20:46,876 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:20:47,021 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:21:43,031 - dataflume-monitor-logger - CRITICAL - applier tungsten.jar on 10.249.7.34 is NOT running!!!

2016-09-28 19:21:48,387 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:21:48,533 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:22:43,839 - dataflume-monitor-logger - CRITICAL - applier tungsten.jar on 10.249.7.34 is NOT running!!!

2016-09-28 19:22:50,016 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:22:50,093 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:23:45,396 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:23:51,589 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:23:51,626 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:24:46,946 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:24:53,102 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:24:53,152 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:25:48,503 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:25:54,679 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:25:54,679 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:26:50,061 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:26:56,187 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:26:56,193 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:27:51,731 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:27:57,689 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:27:57,699 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:28:53,266 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:28:59,207 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:28:59,218 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:29:54,805 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:30:00,739 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:30:00,741 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 19:30:56,352 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 19:31:02,278 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 19:31:02,340 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
